province_name,province_id,owner_name_1763,owner_tag_1763,historical_justification_1763_with_source,current_owner_tag,status,confidence
Schweidnitz,143,,,,PRU,OWNED,
Beaufort,144,,,,USA,OWNED,
Volokolamsk,145,,,,RUS,OWNED,
Andaman,146,,,,EIC,OWNED,
Fayetteville,147,,,,USA,OWNED,
Yeppoon,148,,,,,UNOWNED,
Mont-de-Marsan,149,,,,FRA,OWNED,
Chesma,150,,,,RUS,OWNED,
Xaihua,151,,,,CHI,OWNED,
Baunt,152,,,,RUS,OWNED,
Al Qosimah,153,,,,EGY,OWNED,
Elkins,154,,,,USA,OWNED,
Zhenglan,155,,,,CHI,OWNED,
Tiruvarur,156,,,,EIC,OWNED,
Yashkul,157,,,,RUS,OWNED,
Mälar,158,,,,,UNOWNED,
Nel Kan,159,,,,RUS,OWNED,
Sunud,160,,,,CHI,OWNED,
Coruripe,161,,,,BRZ,OWNED,
Madras,162,,,,EIC,OWNED,
Shibaertale,163,,,,ILI,OWNED,
the Outback,164,,,,,UNOWNED,
Soerabaja,165,,,,DEI,OWNED,
Zilair,166,,,,RUS,OWNED,
Jaipur,167,,,,GWA,OWNED,
Bayandai,168,,,,RUS,OWNED,
Bardawil,169,,,,EGY,OWNED,
Bikaner,170,,,,JAI,OWNED,
Aim,171,,,,RUS,OWNED,
Oricuri,172,,,,BRZ,OWNED,
Riobamba,173,,,,QTO,OWNED,
Xielecun,174,,,,XNG,OWNED,
Marienburg,175,,,,PRU,OWNED,
Krasny Holm,176,,,,RUS,OWNED,
Malinau,177,,,,BGN,OWNED,
Vokhma,178,,,,RUS,OWNED,
Borova,179,,,,RUS,OWNED,
Murom,180,,,,RUS,OWNED,
Kotor,181,,,,VEN,OWNED,
Erlau,182,,,,HUN,OWNED,
Baltai,183,,,,RUS,OWNED,
Bezhetsk,184,,,,RUS,OWNED,
Austerlitz,185,,,,AUS,OWNED,
Danilovka,186,,,,RUS,OWNED,
Debar,187,,,,TUR,OWNED,
Pyshchug,188,,,,RUS,OWNED,
Kochubey,189,,,,RUS,OWNED,
Balakliya,190,,,,RUS,OWNED,
Medea,191,,,,ALG,OWNED,
Melenki,192,,,,RUS,OWNED,
Estella,193,,,,SPA,OWNED,
Jaffna,194,,,,CYL,OWNED,
Almeria,195,,,,SPA,OWNED,
Miranda de Ebro,196,,,,SPA,OWNED,
Kopasor,197,,,,KSH,OWNED,
Horn,198,,,,AUS,OWNED,
Guiyangzhen,199,,,,CHI,OWNED,
San Severo,200,,,,NAP,OWNED,
Wedowee,201,,,,,UNOWNED,
Avis,202,,,,POR,OWNED,
Lagan,203,,,,RUS,OWNED,
Krabi,204,,,,SIA,OWNED,
Khenchela,205,,,,ALG,OWNED,
Żółkiew,206,,,,AUS,OWNED,
Datong,207,,,,CHI,OWNED,
Phuket,208,,,,SIA,OWNED,
Yinchuan,209,,,,CHI,OWNED,
Motril,210,,,,SPA,OWNED,
Paynes Find,211,,,,,UNOWNED,
Campbellton,212,,,,NBR,OWNED,
Mekka,213,,,,EGY,OWNED,
Vengerovo,214,,,,RUS,OWNED,
Chuandongba,215,,,,CHI,OWNED,
Tulun,216,,,,RUS,OWNED,
Cullman,217,,,,CHT,OWNED,
Santarém,218,,,,POR,OWNED,
Udaipur,219,,,,MAR,OWNED,
Kuragino,220,,,,RUS,OWNED,
Ordos,221,,,,CHI,OWNED,
Zemba,222,,,,KON,OWNED,
Mt Kosciuszko,223,,,,,UNOWNED,
Grenola,224,,,,,UNOWNED,
Paranavaí,225,,,,BRZ,OWNED,
Yanbu´al Bahr,226,,,,EGY,OWNED,
Dombarovskyi,227,,,,KSH,OWNED,
Rajmathal,228,,,,JAI,OWNED,
Rio Pardo,229,,,,BRZ,OWNED,
Tulsa,230,,,,CMC,OWNED,
Bukoba,231,,,,KRG,OWNED,
Cafayete,232,,,,,UNOWNED,
Magdeburg,233,,,,PRU,OWNED,
Jørpeland,234,,,,NOR,OWNED,
Brussel,235,,,,NED,OWNED,
Pereliub,236,,,,RUS,OWNED,
Kincardine,237,,,,GBR,OWNED,
Battle Creek,238,,,,,UNOWNED,
Kashary,239,,,,RUS,OWNED,
Temnikov,240,,,,RUS,OWNED,
Odense,241,,,,DEN,OWNED,
Izcaragua,242,,,,CPV,OWNED,
Braunschweig,243,,,,BRG,OWNED,
Isaba,244,,,,SPA,OWNED,
Vien,245,,,,AUS,OWNED,
Xuancun,246,,,,CHI,OWNED,
Kokstad,247,,,,,UNOWNED,
Haymanateyn,248,,,,TUR,OWNED,
Norway House,249,,,,,UNOWNED,
New Hanover,250,,,,,UNOWNED,
Dyultidag,251,,,,GZI,OWNED,
Millerovo,252,,,,RUS,OWNED,
Laghouat,253,,,,ALG,OWNED,
Aix-en-Provence,254,,,,FRA,OWNED,
Ribe,255,,,,SHL,OWNED,
Taiping,256,,,,PRK,OWNED,
Mecheria,257,,,,ALG,OWNED,
Paynesville,258,,,,,UNOWNED,
Pamplona,259,,,,SPA,OWNED,
Fort Chimo,260,,,,HBC,OWNED,
Nanning,261,,,,CHI,OWNED,
Irkutsk,262,,,,RUS,OWNED,
Yonzhou,263,,,,CHI,OWNED,
Sivrihisar,264,,,,TUR,OWNED,
San Agustín,265,,,,FLO,OWNED,
Jambi,266,,,,JBI,OWNED,
Kunbatar,267,,,,GZI,OWNED,
Rakity,268,,,,RUS,OWNED,
Coahuiltecan,269,,,,CDD,OWNED,
Tablelands,270,,,,,UNOWNED,
Lahad Datu,271,,,,SLU,OWNED,
Hamadan,272,,,,,UNOWNED,
Geelong,273,,,,,UNOWNED,
Manhuacu,274,,,,BRZ,OWNED,
Montréal,275,,,,LCA,OWNED,
Haima,276,,,,,UNOWNED,
Dugang Tilgang,277,,,,ULS,OWNED,
Xinfeng,278,,,,CHI,OWNED,
Buta,279,,,,,UNOWNED,
Kalkaman,280,,,,,UNOWNED,
Derby,281,,,,,UNOWNED,
Andradina,282,,,,BRZ,OWNED,
Salahiye,283,,,,SRN,OWNED,
Huntly,284,,,,,UNOWNED,
Sundsvall,285,,,,SWE,OWNED,
Dourados,286,,,,BRZ,OWNED,
Kogu,287,,,,BIU,OWNED,
Ruen,288,,,,LIV,OWNED,
Königsberg,289,,,,PRU,OWNED,
Itahari,290,,,,NEP,OWNED,
Ranagundam,291,,,,HYD,OWNED,
Kholm,292,,,,RUS,OWNED,
Amstetten,293,,,,AUS,OWNED,
Oststernberg,294,,,,PRU,OWNED,
Menorca,295,,,,SPA,OWNED,
Kashin,296,,,,RUS,OWNED,
Gary,297,,,,,UNOWNED,
Muratsay,298,,,,RUS,OWNED,
Damascus,299,,,,TUR,OWNED,
Kalach-na-Donu,300,,,,RUS,OWNED,
Nykobing,301,,,,DEN,OWNED,
Sort,302,,,,SPA,OWNED,
Veszprém,303,,,,HUN,OWNED,
Bhuj,304,,,,KTC,OWNED,
Malta,305,,,,GBR,OWNED,
Barbastro,306,,,,SPA,OWNED,
Reno,307,,,,NUU,OWNED,
Linz,308,,,,AUS,OWNED,
Paletwa,309,,,,BUR,OWNED,
Valencia,310,,,,SPA,OWNED,
Gadchiroli,311,,,,NAG,OWNED,
Zijin,312,,,,MKD,OWNED,
Newton,313,,,,USA,OWNED,
Augupella,314,,,,,UNOWNED,
Tataouine,315,,,,TRI,OWNED,
Morozovsk,316,,,,RUS,OWNED,
Shillong,317,,,,KRI,OWNED,
Sarawaget,318,,,,,UNOWNED,
Anyê Maqên,319,,,,,UNOWNED,
Skhira,320,,,,TUN,OWNED,
Igrim,321,,,,RUS,OWNED,
Xinchengcun,322,,,,MNC,OWNED,
Barinas,323,,,,CPV,OWNED,
Salem,324,,,,,UNOWNED,
Balasore,325,,,,EIC,OWNED,
Wujicun Erzu,326,,,,HLJ,OWNED,
Santiago de Cuba,327,,,,NSP,OWNED,
Haicheng,328,,,,MKD,OWNED,
Sikaso,329,,,,KDG,OWNED,
Kuberganya,330,,,,RUS,OWNED,
Jamalpur,331,,,,EIC,OWNED,
Liwale,332,,,,,UNOWNED,
Chindu,333,,,,CHI,OWNED,
Karak,334,,,,KHL,OWNED,
Sartyn'ya,335,,,,RUS,OWNED,
Mérida,336,,,,CPV,OWNED,
Maoka,337,,,,,UNOWNED,
Lake Nipigon,338,,,,,UNOWNED,
Banamba,339,,,,BMN,OWNED,
Chigamane,340,,,,,UNOWNED,
Inari,341,,,,FIN,OWNED,
Daykundi,342,,,,AFG,OWNED,
Eastern Tipperary,343,,,,GBR,OWNED,
Rampur,344,,,,EIC,OWNED,
Prokhorovka,345,,,,RUS,OWNED,
Elliot,346,,,,XHO,OWNED,
Radzyń,347,,,,POL,OWNED,
Kisa,348,,,,SWE,OWNED,
South Bend,349,,,,MIA,OWNED,
Tsarev,350,,,,RUS,OWNED,
Limerick City,351,,,,GBR,OWNED,
Skopje,352,,,,TUR,OWNED,
Plavsk,353,,,,RUS,OWNED,
Førde,354,,,,NOR,OWNED,
Ödenburg,355,,,,HUN,OWNED,
Velika Pisarivka,356,,,,RUS,OWNED,
Bastia,357,,,,GEN,OWNED,
Karad,358,,,,KOL,OWNED,
Hadim,359,,,,TUR,OWNED,
Louisville,360,,,,,UNOWNED,
Petretsovo,361,,,,RUS,OWNED,
Solodniki,362,,,,RUS,OWNED,
Jingjiang,363,,,,CHI,OWNED,
Beliov,364,,,,RUS,OWNED,
Lospalos,365,,,,POR,OWNED,
Wuxi,366,,,,CHI,OWNED,
Tukuz,367,,,,RUS,OWNED,
Figueres,368,,,,SPA,OWNED,
Agvali,369,,,,GZI,OWNED,
Santiago de Carig,370,,,,PHI,OWNED,
Ogallala,371,,,,ARP,OWNED,
Hpakan,372,,,,BUR,OWNED,
Yalvaç,373,,,,TUR,OWNED,
Phang Khon,374,,,,VIN,OWNED,
Krutoborka,375,,,,RUS,OWNED,
Ambato,376,,,,QTO,OWNED,
Luverne,377,,,,DAK,OWNED,
Chum Phae,378,,,,SIA,OWNED,
Hueitra,379,,,,,UNOWNED,
Corfu,380,,,,ION,OWNED,
Cuencamé,381,,,,NSP,OWNED,
Sumkino,382,,,,RUS,OWNED,
Shamary,383,,,,,UNOWNED,
Telavi,384,,,,RUS,OWNED,
Curiapo,385,,,,CPV,OWNED,
Uintah,386,,,,UTE,OWNED,
Hpakan,387,,,,BUR,OWNED,
Balaton,388,,,,,UNOWNED,
Santa Bárbara,389,,,,CPV,OWNED,
Sioux Falls,390,,,,DAK,OWNED,
Araruama,391,,,,BRZ,OWNED,
Valdivia,392,,,,CHL,OWNED,
Navojoa,393,,,,NSP,OWNED,
Dobrianka,394,,,,RUS,OWNED,
Sychovka,395,,,,RUS,OWNED,
Lightning Ridge,396,,,,,UNOWNED,
Ibra,397,,,,OMA,OWNED,
Marak'evo,398,,,,RUS,OWNED,
Bandar e Bushehr,399,,,,,UNOWNED,
Makhambet,400,,,,RUS,OWNED,
South Shropshire,401,,,,GBR,OWNED,
Usadische,402,,,,RUS,OWNED,
Klagenfurt,403,,,,AUS,OWNED,
Novodvinsk,404,,,,RUS,OWNED,
Mihailovka,405,,,,RUS,OWNED,
Palatsovo,406,,,,RUS,OWNED,
Steinach am Brenner,407,,,,AUS,OWNED,
Apure,408,,,,CPV,OWNED,
Rome,409,,,,MSG,OWNED,
Balakhna,410,,,,RUS,OWNED,
Trujillo,411,,,,CPV,OWNED,
Madeniyet,412,,,,RUS,OWNED,
Suez,413,,,,EGY,OWNED,
Zíndaro,414,,,,MEX,OWNED,
Cardiganshire,415,,,,GBR,OWNED,
Tetovo,416,,,,TUR,OWNED,
Nockberge,417,,,,AUS,OWNED,
Krohino,418,,,,RUS,OWNED,
Sidi Barrani,419,,,,EGY,OWNED,
Becserek,420,,,,HUN,OWNED,
San Bernardino,421,,,,,UNOWNED,
Sölden,422,,,,AUS,OWNED,
Tirupati,423,,,,EIC,OWNED,
Laurinburg,424,,,,USA,OWNED,
Cairns,425,,,,,UNOWNED,
Leiria,426,,,,POR,OWNED,
Margas,427,,,,DRD,OWNED,
Miasskoe,428,,,,RUS,OWNED,
Bani Suwayf,429,,,,EGY,OWNED,
Naranjos,430,,,,NSP,OWNED,
Palu,431,,,,PLU,OWNED,
Triojgorni,432,,,,RUS,OWNED,
Kash,433,,,,BLO,OWNED,
El Negaila,434,,,,EGY,OWNED,
Bodaybo,435,,,,RUS,OWNED,
Muroran,436,,,,MAE,OWNED,
Moyobamba,437,,,,,UNOWNED,
Fresno,438,,,,,UNOWNED,
Amboli,439,,,,MRT,OWNED,
Panguitch,440,,,,NWE,OWNED,
Nicholson,441,,,,,UNOWNED,
Tuskegee,442,,,,MSG,OWNED,
Danar,443,,,,OGD,OWNED,
Baorihu Ji'er,444,,,,CHI,OWNED,
Pariaman,445,,,,EIC,OWNED,
Bandar e'Abbas,446,,,,OMA,OWNED,
Al Qaryah,447,,,,TRI,OWNED,
Kirensk,448,,,,RUS,OWNED,
Tumbes,449,,,,,UNOWNED,
Topkachi,450,,,,TKG,OWNED,
Chott el-Jerid,451,,,,,UNOWNED,
Dola Mena,452,,,,HRR,OWNED,
Hindenburg,453,,,,PRU,OWNED,
Tindouf,454,,,,,UNOWNED,
Changshu,455,,,,CHI,OWNED,
Belgard,456,,,,PRU,OWNED,
Eggedal,457,,,,NOR,OWNED,
Coleraine,458,,,,GBR,OWNED,
Amsterdam,459,,,,NED,OWNED,
Enniskillen,460,,,,GBR,OWNED,
Huling,461,,,,MNC,OWNED,
Stettin,462,,,,PRU,OWNED,
Hebeicun,463,,,,MKD,OWNED,
s Hertogenbosch,464,,,,NED,OWNED,
Geilo,465,,,,NOR,OWNED,
Bruneck,466,,,,AUS,OWNED,
Xanthi,467,,,,TUR,OWNED,
Bozen,468,,,,AUS,OWNED,
Dhamial,469,,,,AFG,OWNED,
Novouzensk,470,,,,RUS,OWNED,
Colmenar,471,,,,SPA,OWNED,
Xicun,472,,,,MNC,OWNED,
Gibraltar,473,,,,GBR,OWNED,
Batumi,474,,,,GUR,OWNED,
Dzhambul,475,,,,RUS,OWNED,
Wenzhou,476,,,,CHI,OWNED,
Tieling,477,,,,MKD,OWNED,
Norwich,478,,,,GBR,OWNED,
Huehuetenango,479,,,,GUA,OWNED,
Suichang,480,,,,CHI,OWNED,
Moklakan,481,,,,RUS,OWNED,
Drama,482,,,,TUR,OWNED,
Irvine,483,,,,NWE,OWNED,
Periyar,484,,,,TRV,OWNED,
PROV485,485,,,,ILI,OWNED,
Kalonga Ywa,486,,,,BUR,OWNED,
Meekatharra,487,,,,,UNOWNED,
Svetly,488,,,,,UNOWNED,
Dulovo,489,,,,TUR,OWNED,
Elburz Mountains,490,,,,,UNOWNED,
Canelones,491,,,,LFP,OWNED,
Malete,492,,,,OYO,OWNED,
Dali,493,,,,CHI,OWNED,
Isinga,494,,,,RUS,OWNED,
Cartwright,495,,,,NFL,OWNED,
Nianxiang,496,,,,CHI,OWNED,
Tapajós,497,,,,BRZ,OWNED,
Kum-Tagh,498,,,,XNG,OWNED,
Viluppuram,499,,,,TJR,OWNED,
Amazon Rainforest,500,,,,,UNOWNED,
Gobi Desert,501,,,,,UNOWNED,
Panzhihua,502,,,,CHI,OWNED,
Coral Harbour,503,,,,HBC,OWNED,
Weissenstein,504,,,,EST,OWNED,
Newry,505,,,,GBR,OWNED,
Vitebsk,506,,,,LIT,OWNED,
Shahpura,507,,,,INR,OWNED,
Farap,508,,,,BUK,OWNED,
Płock,509,,,,POL,OWNED,
Stockholm,510,,,,SWE,OWNED,
Krainburg,511,,,,AUS,OWNED,
Vesyegonsk,512,,,,RUS,OWNED,
Sondrio,513,,,,LBV,OWNED,
Würzburg,514,,,,WBG,OWNED,
El Djelfa,515,,,,ALG,OWNED,
Peruvian Andes,516,,,,,UNOWNED,
Yeghegnadzor,517,,,,NKH,OWNED,
Guigang,518,,,,CHI,OWNED,
Shungay,519,,,,RUS,OWNED,
Lipno,520,,,,POL,OWNED,
Temecula,521,,,,NWE,OWNED,
Monfalcon,522,,,,VEN,OWNED,
Ustyuzhna,523,,,,RUS,OWNED,
Naha,524,,,,RYU,OWNED,
Long Beach,525,,,,NWE,OWNED,
Pensacola,526,,,,FLO,OWNED,
Lugano,527,,,,SWI,OWNED,
Galle,528,,,,CYL,OWNED,
Bou Saada,529,,,,ALG,OWNED,
Port Elizabeth,530,,,,CPC,OWNED,
Villarramiel,531,,,,SPA,OWNED,
Sasaram,532,,,,PAT,OWNED,
Koubia,533,,,,FTJ,OWNED,
Zhongshan,534,,,,CHI,OWNED,
Bahía San Blas,535,,,,,UNOWNED,
Mali,536,,,,FTJ,OWNED,
North Sudanese desert,537,,,,,UNOWNED,
Ylan,538,,,,,UNOWNED,
Pawlodar,539,,,,RUS,OWNED,
Mobile,540,,,,,UNOWNED,
Toamasina,541,,,,,UNOWNED,
Dai,542,,,,CHI,OWNED,
Davao,543,,,,MGO,OWNED,
Graham,544,,,,CMC,OWNED,
Thohoyandou,545,,,,,UNOWNED,
Wilmington,546,,,,USA,OWNED,
Doce,547,,,,BRZ,OWNED,
Hobbs,548,,,,CMC,OWNED,
Salgueiro,549,,,,BRZ,OWNED,
Douentza,550,,,,BMN,OWNED,
Halaib,551,,,,,UNOWNED,
Kerewan,552,,,,FCA,OWNED,
Antonio Enes,553,,,,MOZ,OWNED,
Lüliang,554,,,,CHI,OWNED,
Curvelo,555,,,,BRZ,OWNED,
Garh Moor,556,,,,KHL,OWNED,
Fernando Poo,557,,,,SPA,OWNED,
Valle de Bravo,558,,,,MEX,OWNED,
Gopiganj,559,,,,BNR,OWNED,
Chormoz,560,,,,RUS,OWNED,
Troppau,561,,,,AUS,OWNED,
Krasninsky,562,,,,RUS,OWNED,
Posen,563,,,,POZ,OWNED,
Bayreuth,564,,,,BAV,OWNED,
Orscha,565,,,,LIT,OWNED,
Mushiganj,566,,,,EIC,OWNED,
Kamyenka,567,,,,RUS,OWNED,
Charabli,568,,,,RUS,OWNED,
Ternovka,569,,,,RUS,OWNED,
Ramadi,570,,,,IRA,OWNED,
Kalinkavichy,571,,,,LIT,OWNED,
Syava,572,,,,RUS,OWNED,
Verona,573,,,,VEN,OWNED,
Schönberg,574,,,,AUS,OWNED,
La Roda,575,,,,SPA,OWNED,
Cabimas,576,,,,CPV,OWNED,
Mendawai,577,,,,BJR,OWNED,
Erlangen,578,,,,BAV,OWNED,
Merine,579,,,,ALG,OWNED,
Gaya,580,,,,PAT,OWNED,
Montpelier,581,,,,USA,OWNED,
Tolemaida,582,,,,SFB,OWNED,
Tatal,583,,,,RUS,OWNED,
Lungphialia,584,,,,MNP,OWNED,
Beirut,585,,,,MLB,OWNED,
Salihorsk,586,,,,LIT,OWNED,
Snezhinsk,587,,,,RUS,OWNED,
Amtali,588,,,,EIC,OWNED,
Tankhoi,589,,,,RUS,OWNED,
San Clemente,590,,,,SPA,OWNED,
Nalbari,591,,,,ASS,OWNED,
Pemboang,592,,,,KOT,OWNED,
Anyê Maqên,593,,,,,UNOWNED,
Sarikei,594,,,,BRU,OWNED,
El Kasdir,595,,,,ALG,OWNED,
Sangymgort,596,,,,RUS,OWNED,
Cooperstown,597,,,,USA,OWNED,
Oltu,598,,,,TUR,OWNED,
Dasht-e Kavir,599,,,,,UNOWNED,
Vorkuta,600,,,,RUS,OWNED,
Amdjarass,601,,,,,UNOWNED,
Bharatpur,602,,,,GWA,OWNED,
Teshig,603,,,,ULS,OWNED,
Aqqu,604,,,,RUS,OWNED,
Sikkim,605,,,,SKK,OWNED,
Guaycuru,606,,,,,UNOWNED,
Sêrxü,607,,,,CHI,OWNED,
Kuching,608,,,,BRU,OWNED,
Ryökäsvesi,609,,,,,UNOWNED,
Nurmes,610,,,,,UNOWNED,
Lake Champlain,611,,,,,UNOWNED,
Mouyamba,612,,,,LOA,OWNED,
Tanggula,613,,,,NGQ,OWNED,
Singapore,614,,,,JHR,OWNED,
Nador,615,,,,MOR,OWNED,
Pechora,616,,,,RUS,OWNED,
Qianfeng,617,,,,MNC,OWNED,
Trabzon,618,,,,TRB,OWNED,
Maymanah,619,,,,MMA,OWNED,
Jhargram,620,,,,KHR,OWNED,
Tsagaannuur,621,,,,ULS,OWNED,
Talavera,622,,,,SPA,OWNED,
Kishanganj,623,,,,EIC,OWNED,
Pulau Siberut,624,,,,,UNOWNED,
Xolotlan,625,,,,,UNOWNED,
Port au Choix,626,,,,NFL,OWNED,
Xinyu,627,,,,CHI,OWNED,
Cruz del Eje,628,,,,,UNOWNED,
Nagqu,629,,,,TIB,OWNED,
Tanjung Selor,630,,,,GNT,OWNED,
Kabudarahang,631,,,,,UNOWNED,
Dutovo,632,,,,RUS,OWNED,
Sydney,633,,,,NVS,OWNED,
Salalah,634,,,,OMA,OWNED,
Erzin,635,,,,TNN,OWNED,
Shishan,636,,,,,UNOWNED,
Sept-Iles,637,,,,LCA,OWNED,
Guandacol,638,,,,,UNOWNED,
Qasr-e-Shirin,639,,,,,UNOWNED,
Baikal,640,,,,,UNOWNED,
Lyck,641,,,,PRU,OWNED,
Vågåmo,642,,,,NOR,OWNED,
Walk,643,,,,LIV,OWNED,
Tortona,644,,,,SAR,OWNED,
Pskov,645,,,,RUS,OWNED,
Pisek,646,,,,AUS,OWNED,
Rastenburg,647,,,,PRU,OWNED,
Elkhovka,648,,,,RUS,OWNED,
Vagamo,649,,,,NOR,OWNED,
Zhirnovsk,650,,,,RUS,OWNED,
Kyonkpyoo,651,,,,BUR,OWNED,
Elista,652,,,,RUS,OWNED,
Sverdlovo,653,,,,RUS,OWNED,
Sonipat,654,,,,EIC,OWNED,
Alessandria,655,,,,SAR,OWNED,
Dorpat,656,,,,LIV,OWNED,
Grenoble,657,,,,FRA,OWNED,
Bischofteinitz,658,,,,AUS,OWNED,
Tarhunah,659,,,,TRI,OWNED,
