province_id,province_name,owner_tag,province_rank,culture,religion,trade_goods,total_pops,assessment_note
98,Bandar-e Anzali,,settlement,talysh,shiite,livestock,21,
99,Hellin,SPA,settlement,castilian,catholic,stone,15,
100,Kracheh,CBI,settlement,khmer,theravada,grain,20,
101,Verkhnie,RUS,settlement,bashkir,orthodox,wood,0,owned but 0 pops (frontier/empty — normal)
102,Nok Kundi,KRN,settlement,baloch,sunni,livestock,2,
103,Zoige,CHI,settlement,shangjiang,mahayana,temperate_fruit,35,
104,Ghandis,TRI,settlement,tuareg,sunni,iron,2,
105,Novobirilussi,RUS,settlement,tuvan,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
106,Gijduvon,BUK,settlement,turkmen,sunni,textile_fibres,15,
107,Haishenwai,MNC,settlement,manchu,siberian_shamanism,wood,4,
108,El Jufra,TRI,settlement,libyan,sunni,livestock,1,
109,Poleove,RUS,settlement,russian,orthodox,wood,2,
110,Kokand,KOK,city,tajik,sunni,livestock,50,
111,Taleh,,settlement,somali,sunni,livestock,6,
112,Bortala,ILI,settlement,uighur,sunni,livestock,7,
113,Beifuyun,ILI,settlement,kazakh,sunni,livestock,7,
114,Veraguas,SFB,settlement,central_american,catholic,coffee,3,
115,Dunedin,,settlement,maori,rangi,livestock,1,
116,Zahedan,BLO,settlement,baloch,shiite,livestock,2,
117,Ziliujing,CHI,settlement,shangjiang,daoism,grain,46,
118,Te_Anau,,settlement,maori,rangi,stone,1,
119,Sahara Desert,,settlement,tuareg,sunni,camel,0,
120,Hargeisa,ISQ,settlement,somali,sunni,grain,12,
121,Karamay,ILI,settlement,uighur,sunni,livestock,1,
122,Pasvalys,RUS,settlement,lithuanian,catholic,temperate_fruit,8,
123,Eutin,HOL,settlement,north_german,lutheran,fish,2,
124,Poim,RUS,settlement,russian,orthodox,grain,9,
125,Rauma,FIN,settlement,finnish,lutheran,grain,5,
126,Chachersk,LIT,settlement,belarusian,orthodox,grain,5,
127,Forssa,FIN,settlement,finnish,lutheran,grain,3,
128,Cebrayil,KBH,settlement,kurdish,sunni,textile_fibres,3,
129,Kursenai,RUS,settlement,lithuanian,catholic,wood,4,
130,Montauban,FRA,settlement,occitan,catholic,livestock,28,
131,Vsykovsk,RUS,settlement,russian,orthodox,wood,4,
132,Clanwilliam,CPC,settlement,damara,khoi-san,wood,1,
133,Neusohl,HUN,settlement,slovak,catholic,iron,16,
134,Bariadi,,settlement,luo,kenyan,textile_fibres,6,
135,Pau,FRA,city,occitan,catholic,wood,47,
136,Neutra,HUN,settlement,slovak,catholic,temperate_fruit,21,
137,Chun'an,CHI,settlement,wu,daoism,grain,24,
138,Krasnapolle,LIT,settlement,belarusian,orthodox,grain,4,
139,Parsons,USA,settlement,dixie,reformed,grain,2,
140,Liman,RUS,settlement,tatar,sunni,temperate_fruit,3,
141,Chumphon,SIA,settlement,thai,theravada,temperate_fruit,8,
142,Mu Us Desert,,settlement,hui,sunni,horses,0,
143,Schweidnitz,PRU,settlement,south_german,catholic,coal,16,
144,Beaufort,USA,settlement,dixie,evangelical,grain,6,
145,Volokolamsk,RUS,settlement,russian,orthodox,grain,5,
146,Andaman,EIC,settlement,moken,zanahary,grain,2,
147,Fayetteville,USA,settlement,dixie,evangelical,grain,8,
148,Yeppoon,,settlement,minor_aboriginal,mythic,sugar,0,
149,Mont-de-Marsan,FRA,settlement,occitan,catholic,textile_fibres,41,
150,Chesma,RUS,settlement,bashkir,orthodox,wood,0,owned but 0 pops (frontier/empty — normal)
151,Xaihua,CHI,settlement,wu,daoism,grain,23,
152,Baunt,RUS,settlement,buryat,tengri,wood,0,owned but 0 pops (frontier/empty — normal)
153,Al Qosimah,EGY,settlement,egyptian_arabic,sunni,salt,2,
154,Elkins,USA,settlement,dixie,reformed,coal,1,
155,Zhenglan,CHI,settlement,beihua,mahayana,livestock,1,
156,Tiruvarur,EIC,settlement,tamil,hindu,fish,100,
157,Yashkul,RUS,settlement,kazakh,sunni,industrial_fibres,0,owned but 0 pops (frontier/empty — normal)
158,Mälar,,settlement,,,,0,
159,Nel Kan,RUS,settlement,amur,siberian_shamanism,wood,0,owned but 0 pops (frontier/empty — normal)
160,Sunud,CHI,settlement,jin,mahayana,livestock,1,
161,Coruripe,BRZ,settlement,tupi,catimbo,fish,2,
162,Madras,EIC,city,tamil,hindu,fish,135,
163,Shibaertale,ILI,settlement,uighur,sunni,livestock,2,
164,the Outback,,settlement,minor_aboriginal,mythic,livestock,0,
165,Soerabaja,DEI,city,madurese,sunni,grain,204,
166,Zilair,RUS,settlement,bashkir,orthodox,fur,2,
167,Jaipur,GWA,city,rajasthani,hindu,vegetables,110,
168,Bayandai,RUS,settlement,buryat,tengri,wood,0,owned but 0 pops (frontier/empty — normal)
169,Bardawil,EGY,settlement,egyptian_arabic,sunni,textile_fibres,1,
170,Bikaner,JAI,settlement,rajasthani,hindu,livestock,50,
171,Aim,RUS,settlement,oroqen,siberian_shamanism,wood,0,owned but 0 pops (frontier/empty — normal)
172,Oricuri,BRZ,settlement,tupi,catholic,livestock,2,
173,Riobamba,QTO,settlement,ecuadorian,catholic,temperate_fruit,15,
174,Xielecun,XNG,settlement,uighur,sunni,livestock,4,
175,Marienburg,PRU,settlement,polish,catholic,livestock,8,
176,Krasny Holm,RUS,settlement,russian,orthodox,industrial_fibres,4,
177,Malinau,BGN,settlement,kayan,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
178,Vokhma,RUS,settlement,russian,orthodox,wood,5,
179,Borova,RUS,settlement,russian,orthodox,livestock,6,
180,Murom,RUS,settlement,russian,orthodox,wood,8,
181,Kotor,VEN,settlement,croat,catholic,wood,5,
182,Erlau,HUN,settlement,hungarian,catholic,vegetables,13,
183,Baltai,RUS,settlement,russian,orthodox,industrial_fibres,3,
184,Bezhetsk,RUS,settlement,russian,orthodox,textile_fibres,7,
185,Austerlitz,AUS,settlement,czech,catholic,industrial_fibres,15,
186,Danilovka,RUS,settlement,russian,orthodox,vegetables,6,
187,Debar,TUR,settlement,albanian,sunni,wood,14,
188,Pyshchug,RUS,settlement,russian,orthodox,wood,4,
189,Kochubey,RUS,settlement,nogai,sunni,textile_fibres,4,
190,Balakliya,RUS,settlement,ukrainian,orthodox,vegetables,10,
191,Medea,ALG,settlement,algerian,sunni,temperate_fruit,8,
192,Melenki,RUS,settlement,russian,orthodox,wood,5,
193,Estella,SPA,settlement,castilian,catholic,temperate_fruit,11,
194,Jaffna,CYL,city,tamil,hindu,fish,21,
195,Almeria,SPA,settlement,castilian,catholic,temperate_fruit,32,
196,Miranda de Ebro,SPA,settlement,castilian,catholic,wood,9,
197,Kopasor,KSH,settlement,kazakh,sunni,textile_fibres,0,owned but 0 pops (frontier/empty — normal)
198,Horn,AUS,settlement,austrian,lutheran,temperate_fruit,13,
199,Guiyangzhen,CHI,settlement,shangjiang,daoism,tea,50,
200,San Severo,NAP,settlement,south_italian,catholic,vegetables,46,
201,Wedowee,,settlement,alabama,waashat,livestock,0,
202,Avis,POR,settlement,portuguese,catholic,temperate_fruit,14,
203,Lagan,RUS,settlement,cossack,orthodox,livestock,2,
204,Krabi,SIA,settlement,malayan,theravada,fish,6,
205,Khenchela,ALG,settlement,tunisian,sunni,livestock,10,
206,Żółkiew,AUS,settlement,polish,catholic,livestock,29,
207,Datong,CHI,settlement,jin,daoism,coal,72,
208,Phuket,SIA,settlement,malayan,theravada,tin,4,
209,Yinchuan,CHI,city,hui,sunni,grain,42,
210,Motril,SPA,settlement,castilian,catholic,fish,20,
211,Paynes Find,,settlement,minor_aboriginal,mythic,livestock,0,
212,Campbellton,NBR,settlement,mikmaq,inuit,industrial_fibres,1,
213,Mekka,EGY,city,bedouin,sunni,textile_fibres,25,
214,Vengerovo,RUS,settlement,altai,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
215,Chuandongba,CHI,settlement,miao,linh,wood,9,
216,Tulun,RUS,settlement,tuvan,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
217,Cullman,CHT,settlement,choctaw,waashat,textile_fibres,0,owned but 0 pops (frontier/empty — normal)
218,Santarém,POR,city,portuguese,catholic,salt,89,
219,Udaipur,MAR,settlement,rajasthani,hindu,opium,50,
220,Kuragino,RUS,settlement,tuvan,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
221,Ordos,CHI,settlement,mongolian,daoism,livestock,7,
222,Zemba,KON,settlement,kongo,syncretic_christian,wood,10,
223,Mt Kosciuszko,,settlement,oirat,mahayana,cloth,0,
224,Grenola,,settlement,kiowa,waashat,tobacco,0,
225,Paranavaí,BRZ,settlement,guarani,pagelanca,sugar,1,
226,Yanbu´al Bahr,EGY,settlement,bedouin,sunni,textile_fibres,10,
227,Dombarovskyi,KSH,settlement,kazakh,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
228,Rajmathal,JAI,settlement,rajasthani,hindu,livestock,20,
229,Rio Pardo,BRZ,settlement,brazilian,catholic,vegetables,2,
230,Tulsa,CMC,settlement,kiowa,waashat,tobacco,0,owned but 0 pops (frontier/empty — normal)
231,Bukoba,KRG,settlement,kalenjin,bantu,livestock,7,
232,Cafayete,,settlement,platense,catholic,livestock,2,
233,Magdeburg,PRU,city,north_german,lutheran,salt,52,
234,Jørpeland,NOR,settlement,norwegian,lutheran,stone,4,
235,Brussel,NED,city,flemish,catholic,vegetables,44,
236,Pereliub,RUS,settlement,russian,orthodox,livestock,3,
237,Kincardine,GBR,settlement,scottish,reformed,textile_fibres,6,
238,Battle Creek,,settlement,ojibwe-potawatomi,gaihwiio,wood,0,
239,Kashary,RUS,settlement,ukrainian,orthodox,livestock,3,
240,Temnikov,RUS,settlement,russian,orthodox,livestock,10,
241,Odense,DEN,city,danish,lutheran,stone,20,
242,Izcaragua,CPV,settlement,colombian,catholic,coffee,16,
243,Braunschweig,BRG,settlement,north_german,lutheran,grain,7,
244,Isaba,SPA,settlement,castilian,catholic,textile_fibres,6,
245,Vien,AUS,city,austrian,catholic,rifles,84,"'rifles' = intended Victorian-TC/Self-Strengthening good (design, not anachronism)"
246,Xuancun,CHI,settlement,yue,mahayana,grain,40,
247,Kokstad,,settlement,zulu,bantu,wood,11,
248,Haymanateyn,TUR,settlement,turkish,sunni,grain,3,
249,Norway House,,settlement,chipewyan,inuit,wood,1,
250,New Hanover,,settlement,melanesian,mana,hardwood,1,
251,Dyultidag,GZI,settlement,avar,shiite,stone,5,
252,Millerovo,RUS,settlement,ukrainian,orthodox,coal,7,
253,Laghouat,ALG,settlement,tamazight,ibadi,livestock,3,
254,Aix-en-Provence,FRA,settlement,occitan,catholic,temperate_fruit,24,
255,Ribe,SHL,settlement,danish,lutheran,livestock,14,
256,Taiping,PRK,settlement,malayan,sunni,tin,4,
257,Mecheria,ALG,settlement,algerian,sunni,textile_fibres,6,
258,Paynesville,,settlement,minor_aboriginal,mythic,grain,0,
259,Pamplona,SPA,city,castilian,catholic,temperate_fruit,21,
260,Fort Chimo,HBC,settlement,nunavik,inuit,fish,1,
261,Nanning,CHI,city,yue,mahayana,tea,209,
262,Irkutsk,RUS,settlement,russian,orthodox,wood,7,
263,Yonzhou,CHI,settlement,xiang,daoism,maize,203,
264,Sivrihisar,TUR,settlement,turkish,sunni,temperate_fruit,6,
265,San Agustín,FLO,settlement,latin_caribbean,catholic,grain,2,
266,Jambi,JBI,settlement,malayan,sunni,grain,10,
267,Kunbatar,GZI,settlement,nogai,sunni,wood,4,
268,Rakity,RUS,settlement,sibir,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
269,Coahuiltecan,CDD,settlement,koasati,catholic,livestock,0,owned but 0 pops (frontier/empty — normal)
270,Tablelands,,settlement,minor_aboriginal,mythic,livestock,0,
271,Lahad Datu,SLU,settlement,bornean,sunni,vegetables,8,
272,Hamadan,,settlement,persian,shiite,textile_fibres,12,
273,Geelong,,settlement,minor_aboriginal,mythic,grain,0,
274,Manhuacu,BRZ,settlement,brazilian,catholic,coffee,12,
275,Montréal,LCA,city,quebecois,catholic,livestock,11,
276,Haima,,settlement,omani,ibadi,wool,0,
277,Dugang Tilgang,ULS,settlement,mongolian,tengri,livestock,1,
278,Xinfeng,CHI,settlement,hakka,daoism,sweet_potato,51,
279,Buta,,settlement,ngbandi,bantu,hardwood,13,
280,Kalkaman,,settlement,sibir,sunni,vegetables,1,
281,Derby,,settlement,worrorran,mythic,livestock,0,
282,Andradina,BRZ,settlement,guarani,catholic,coffee,2,
283,Salahiye,SRN,settlement,kurdish,sunni,sugar,4,
284,Huntly,,settlement,maori,rangi,iron,1,
285,Sundsvall,SWE,settlement,swedish,lutheran,fish,1,
286,Dourados,BRZ,settlement,kayapo,pagelanca,livestock,1,
287,Kogu,BIU,settlement,fulani,sunni,grain,27,
288,Ruen,LIV,settlement,estonian,lutheran,sulphur,3,
289,Königsberg,PRU,city,north_german,lutheran,gems,49,
290,Itahari,NEP,settlement,nepalese,hindu,wood,110,
291,Ranagundam,HYD,settlement,telugu,hindu,grain,85,
292,Kholm,RUS,settlement,russian,orthodox,grain,6,
293,Amstetten,AUS,settlement,austrian,catholic,coal,12,
294,Oststernberg,PRU,settlement,north_german,catholic,livestock,10,
295,Menorca,SPA,settlement,catalan,catholic,fish,12,
296,Kashin,RUS,settlement,russian,orthodox,wood,5,
297,Gary,,settlement,illinois,gaihwiio,grain,0,
298,Muratsay,RUS,settlement,kazakh,sunni,livestock,3,
299,Damascus,TUR,city,levantine,sunni,iron,38,
300,Kalach-na-Donu,RUS,settlement,russian,orthodox,vegetables,10,
301,Nykobing,DEN,settlement,danish,lutheran,fish,10,
302,Sort,SPA,settlement,catalan,catholic,wood,8,
303,Veszprém,HUN,settlement,hungarian,catholic,temperate_fruit,11,
304,Bhuj,KTC,settlement,gujarati,shiite,livestock,15,
305,Malta,GBR,city,maltese,catholic,stone,20,
306,Barbastro,SPA,settlement,castilian,catholic,livestock,7,
307,Reno,NUU,settlement,wiyot,earth_lodge,livestock,0,owned but 0 pops (frontier/empty — normal)
308,Linz,AUS,city,austrian,catholic,rifles,21,"'rifles' = intended Victorian-TC/Self-Strengthening good (design, not anachronism)"
309,Paletwa,BUR,settlement,kachin,theravada,livestock,31,
310,Valencia,SPA,city,castilian,catholic,fish,47,
311,Gadchiroli,NAG,settlement,hindi,hindu,iron,35,
312,Zijin,MKD,settlement,manchu,siberian_shamanism,temperate_fruit,2,
313,Newton,USA,settlement,yankee,reformed,grain,9,
314,Augupella,,settlement,melanesian,mana,hardwood,1,
315,Tataouine,TRI,settlement,tamazight,sunni,textile_fibres,3,
316,Morozovsk,RUS,settlement,russian,orthodox,livestock,2,
317,Shillong,KRI,settlement,assamese,hindu,tea,44,
318,Sarawaget,,settlement,papuan,mythic,hardwood,1,
319,Anyê Maqên,,settlement,amdo,mahayana,livestock,0,
320,Skhira,TUN,settlement,tunisian,sunni,livestock,4,
321,Igrim,RUS,settlement,russian,orthodox,wood,3,
322,Xinchengcun,MNC,settlement,amur,siberian_shamanism,vegetables,0,owned but 0 pops (frontier/empty — normal)
323,Barinas,CPV,settlement,colombian,catholic,coffee,5,
324,Salem,,settlement,yurok,earth_lodge,fish,0,
325,Balasore,EIC,settlement,oriya,hindu,salt,81,
326,Wujicun Erzu,HLJ,settlement,buryat,mahayana,wood,2,
327,Santiago de Cuba,NSP,city,latin_caribbean,catholic,coffee,24,
328,Haicheng,MKD,settlement,manchu,siberian_shamanism,vegetables,2,
329,Sikaso,KDG,settlement,malinke,sunni,livestock,25,
330,Kuberganya,RUS,settlement,chukotkan,siberian_shamanism,fur,0,owned but 0 pops (frontier/empty — normal)
331,Jamalpur,EIC,settlement,bengali,sunni,copper,78,
332,Liwale,,settlement,makua,bantu,livestock,20,
333,Chindu,CHI,settlement,amdo,mahayana,livestock,2,
334,Karak,KHL,settlement,urdu,sunni,textile_fibres,65,
335,Sartyn'ya,RUS,settlement,dolgan,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
336,Mérida,CPV,settlement,colombian,catholic,iron,6,
337,Maoka,,settlement,karafuto_ainu,kamuy,wood,1,
338,Lake Nipigon,,settlement,anglo_canadian,anglican,cloth,0,
339,Banamba,BMN,settlement,samogo_soninke,sunni,temperate_fruit,26,
340,Chigamane,,settlement,ndau,bantu,grain,10,
341,Inari,FIN,settlement,sami,lutheran,wood,0,owned but 0 pops (frontier/empty — normal)
342,Daykundi,AFG,settlement,dari,sunni,livestock,11,
343,Eastern Tipperary,GBR,settlement,irish,catholic,livestock,40,
344,Rampur,EIC,settlement,hindi,hindu,grain,86,
345,Prokhorovka,RUS,settlement,russian,orthodox,industrial_fibres,10,
346,Elliot,XHO,settlement,xhosa,bantu,textile_fibres,1,
347,Radzyń,POL,settlement,polish,catholic,grain,22,
348,Kisa,SWE,settlement,swedish,lutheran,wood,5,
349,South Bend,MIA,settlement,illinois,gaihwiio,grain,0,owned but 0 pops (frontier/empty — normal)
350,Tsarev,RUS,settlement,russian,orthodox,grain,5,
351,Limerick City,GBR,city,irish,catholic,textile_fibres,57,
352,Skopje,TUR,city,serb,orthodox,textile_fibres,36,
353,Plavsk,RUS,settlement,russian,orthodox,rifles,12,"'rifles' = intended Victorian-TC/Self-Strengthening good (design, not anachronism)"
354,Førde,NOR,settlement,norwegian,reformed,fish,1,
355,Ödenburg,HUN,city,hungarian,catholic,livestock,17,
356,Velika Pisarivka,RUS,settlement,ukrainian,orthodox,vegetables,12,
357,Bastia,GEN,settlement,french,catholic,vegetables,19,
358,Karad,KOL,settlement,marathi,hindu,textile_fibres,55,
359,Hadim,TUR,settlement,turkish,sunni,copper,8,
360,Louisville,,settlement,dixie,reformed,wood,7,
361,Petretsovo,RUS,settlement,samoyed,orthodox,wood,1,
362,Solodniki,RUS,settlement,russian,orthodox,livestock,2,
363,Jingjiang,CHI,settlement,wu,daoism,textile_fibres,207,
364,Beliov,RUS,settlement,russian,orthodox,temperate_fruit,4,
365,Lospalos,POR,settlement,melanesian,catholic,temperate_fruit,13,
366,Wuxi,CHI,settlement,wu,daoism,textile_fibres,205,
367,Tukuz,RUS,settlement,altai,sunni,wood,2,
368,Figueres,SPA,settlement,catalan,catholic,wood,16,
369,Agvali,GZI,settlement,avar,shiite,textile_fibres,8,
370,Santiago de Carig,PHI,settlement,ilocano,anito,temperate_fruit,4,
371,Ogallala,ARP,settlement,arapaho,waashat,livestock,0,owned but 0 pops (frontier/empty — normal)
372,Hpakan,BUR,settlement,assamese,theravada,hardwood,10,
373,Yalvaç,TUR,settlement,turkish,sunni,livestock,11,
374,Phang Khon,VIN,settlement,thai,linh,cotton,4,
375,Krutoborka,RUS,settlement,russian,orthodox,wood,0,owned but 0 pops (frontier/empty — normal)
376,Ambato,QTO,settlement,quechua,catholic,wood,11,
377,Luverne,DAK,settlement,omaha,waashat,livestock,0,owned but 0 pops (frontier/empty — normal)
378,Chum Phae,SIA,settlement,thai,theravada,vegetables,12,
379,Hueitra,,settlement,aonikenk,tain_feyentun,fish,1,
380,Corfu,ION,settlement,greek,orthodox,fish,10,
381,Cuencamé,NSP,settlement,norteno,catholic,lead,4,
382,Sumkino,RUS,settlement,russian,orthodox,wood,4,
383,Shamary,,settlement,quechua,catholic,wood,11,
384,Telavi,RUS,settlement,georgian,orthodox,stone,8,
385,Curiapo,CPV,settlement,colombian,catholic,sulphur,3,
386,Uintah,UTE,settlement,ute,waashat,livestock,0,owned but 0 pops (frontier/empty — normal)
387,Hpakan,BUR,settlement,shan,theravada,grain,0,owned but 0 pops (frontier/empty — normal)
388,Balaton,,settlement,hungarian,catholic,industrial_fibres,0,
389,Santa Bárbara,CPV,settlement,colombian,catholic,temperate_fruit,2,
390,Sioux Falls,DAK,settlement,omaha,waashat,livestock,0,owned but 0 pops (frontier/empty — normal)
391,Araruama,BRZ,settlement,brazilian,catholic,salt,5,
392,Valdivia,CHL,settlement,chilean,catholic,wood,16,
393,Navojoa,NSP,settlement,minor_nahua,catholic,textile_fibres,1,
394,Dobrianka,RUS,settlement,russian,orthodox,wood,7,
395,Sychovka,RUS,settlement,russian,orthodox,temperate_fruit,3,
396,Lightning Ridge,,settlement,minor_aboriginal,mythic,grain,0,
397,Ibra,OMA,settlement,omani,ibadi,silver,5,
398,Marak'evo,RUS,settlement,russian,orthodox,wood,2,
399,Bandar e Bushehr,,settlement,luri,shiite,textile_fibres,6,
400,Makhambet,RUS,settlement,kazakh,sunni,temperate_fruit,3,
401,South Shropshire,GBR,settlement,english,anglican,livestock,21,
402,Usadische,RUS,settlement,russian,orthodox,wood,3,
403,Klagenfurt,AUS,city,austrian,catholic,rifles,6,"'rifles' = intended Victorian-TC/Self-Strengthening good (design, not anachronism)"
404,Novodvinsk,RUS,settlement,russian,orthodox,wood,0,owned but 0 pops (frontier/empty — normal)
405,Mihailovka,RUS,settlement,russian,orthodox,livestock,7,
406,Palatsovo,RUS,settlement,russian,orthodox,temperate_fruit,2,
407,Steinach am Brenner,AUS,settlement,austrian,catholic,copper,8,
408,Apure,CPV,settlement,colombian,catholic,sugar,4,
409,Rome,MSG,settlement,alabama,waashat,textile_fibres,2,
410,Balakhna,RUS,settlement,russian,orthodox,wood,6,
411,Trujillo,CPV,settlement,colombian,catholic,wood,7,
412,Madeniyet,RUS,settlement,kazakh,sunni,livestock,0,owned but 0 pops (frontier/empty — normal)
413,Suez,EGY,settlement,egyptian_arabic,sunni,livestock,2,
