# MANIFEST -- vegetables reseed (task #5), generated by tools/reseed_vegetables.py
# Columns: province_id | name | region | zone | old_good -> vegetables

5013 | Paris | Northern_France | atlantic_seaboard | grain -> vegetables
5861 | Carlsbad | American_Southwest | caribbean | livestock -> vegetables
1020 | Agate | Great_Plains | caribbean | livestock -> vegetables
9643 | Waynesboro | Deep_South | caribbean | livestock -> vegetables
13260 | Ciudad Victoria | Northern_Mexico | caribbean | livestock -> vegetables
7095 | Acoma | American_Southwest | caribbean | livestock -> vegetables
1181 | Goddard | Great_Plains | caribbean | livestock -> vegetables
10054 | Brunswick | Deep_South | caribbean | grain -> vegetables
13262 | Ciudad Valles | Northern_Mexico | caribbean | livestock -> vegetables
8200 | Portales | American_Southwest | caribbean | livestock -> vegetables
1358 | Lincoln | Great_Plains | caribbean | livestock -> vegetables
265 | San Agustín | Deep_South | caribbean | grain -> vegetables
8929 | Ruidoso | American_Southwest | caribbean | livestock -> vegetables
1384 | Winthrop | Great_Plains | caribbean | livestock -> vegetables
3057 | Arkansas Post | Deep_South | caribbean | livestock -> vegetables
8944 | Ánimas | American_Southwest | caribbean | livestock -> vegetables
1419 | Olathe | Great_Plains | caribbean | livestock -> vegetables
201 | Wedowee | Deep_South | caribbean | livestock -> vegetables
269 | Coahuiltecan | American_Southwest | caribbean | livestock -> vegetables
1456 | Salina | Great_Plains | caribbean | livestock -> vegetables
442 | Tuskegee | Deep_South | caribbean | livestock -> vegetables
1790 | Las Casas | American_Southwest | caribbean | livestock -> vegetables
1629 | Mt Pleasant | Great_Plains | caribbean | grain -> vegetables
526 | Pensacola | Deep_South | caribbean | livestock -> vegetables
7864 | Agustín de Ahumada | American_Southwest | caribbean | livestock -> vegetables
1633 | Black Hills | Great_Plains | caribbean | livestock -> vegetables
1579 | Obok | Horn_of_Africa | east_africa | livestock -> vegetables
5347 | Dedza | Mozambique | east_africa | grain -> vegetables
10048 | Qaryat al Ulya | Arabia | east_africa | livestock -> vegetables
6641 | Ranino | Lake_Victoria | east_africa | grain -> vegetables
44 | Rumbek | Sudan | east_africa | livestock -> vegetables
902 | Namakia | Madagascar | east_africa | livestock -> vegetables
3722 | Zinjibar | Arabian_Sea | east_africa | livestock -> vegetables
2233 | Borama | Horn_of_Africa | east_africa | livestock -> vegetables
3336 | Chiconono | Mozambique | east_africa | livestock -> vegetables
10675 | Tara´h | Arabia | east_africa | livestock -> vegetables
1349 | Soroti | Lake_Victoria | east_africa | grain -> vegetables
3105 | North Darfur | Sudan | east_africa | grain -> vegetables
1923 | Bealanana | Madagascar | east_africa | livestock -> vegetables
8162 | Ahwar | Arabian_Sea | east_africa | livestock -> vegetables
3422 | Asmara | Horn_of_Africa | east_africa | grain -> vegetables
4947 | Montepuez | Mozambique | east_africa | grain -> vegetables
909 | Sharawrah | Arabia | east_africa | livestock -> vegetables
1715 | Kilwa | Lake_Victoria | east_africa | livestock -> vegetables
4071 | Wau | Sudan | east_africa | grain -> vegetables
2365 | Antananarivo | Madagascar | east_africa | grain -> vegetables
8892 | Ar-Irqah | Arabian_Sea | east_africa | livestock -> vegetables
5187 | Mendefera | Horn_of_Africa | east_africa | grain -> vegetables
6246 | Mecula | Mozambique | east_africa | grain -> vegetables
1362 | Hafar al Batin | Arabia | east_africa | livestock -> vegetables
8906 | Ifakara | Lake_Victoria | east_africa | livestock -> vegetables
4943 | Wadi Halfa | Sudan | east_africa | livestock -> vegetables
3869 | Antsirabe | Madagascar | east_africa | grain -> vegetables
4276 | Beihan | Arabian_Sea | east_africa | grain -> vegetables
5445 | Cheren | Horn_of_Africa | east_africa | livestock -> vegetables
8149 | Massangulo | Mozambique | east_africa | grain -> vegetables
1678 | Ash Shu´bah | Arabia | east_africa | livestock -> vegetables
869 | Yevsukh | Kiev | east_europe | grain -> vegetables
2151 | Lozova | Odessa | east_europe | grain -> vegetables
1721 | Craiova | Subcarpathia | east_europe | grain -> vegetables
7888 | Darda | Pannonia | east_europe | grain -> vegetables
206 | Żółkiew | Galicia | east_europe | livestock -> vegetables
5584 | Sofia | Bulgaria | east_europe | grain -> vegetables
9982 | Ajalkalaki | Black_Sea | east_europe | livestock -> vegetables
1436 | Orzhitsa | Kiev | east_europe | grain -> vegetables
2780 | Pavlograd | Odessa | east_europe | grain -> vegetables
1737 | Bailesti | Subcarpathia | east_europe | grain -> vegetables
355 | Ödenburg | Pannonia | east_europe | livestock -> vegetables
4484 | Lemberg | Galicia | east_europe | grain -> vegetables
489 | Dulovo | Bulgaria | east_europe | grain -> vegetables
4414 | Karabük | Black_Sea | east_europe | livestock -> vegetables
1590 | Bakhmach | Kiev | east_europe | grain -> vegetables
3505 | Kurakhove | Odessa | east_europe | grain -> vegetables
2950 | Turnu Magurele | Subcarpathia | east_europe | grain -> vegetables
755 | Malatzka | Pannonia | east_europe | livestock -> vegetables
5239 | Tarnopol | Galicia | east_europe | grain -> vegetables
1768 | Sumen | Bulgaria | east_europe | grain -> vegetables
5474 | Gracač | Illyria | east_mediterranean | livestock -> vegetables
659 | Tarhunah | Libya | east_mediterranean | livestock -> vegetables
413 | Suez | Egypt | east_mediterranean | livestock -> vegetables
2197 | Kadesh Barnea | Levant | east_mediterranean | livestock -> vegetables
3074 | Larissa | Rumelia | east_mediterranean | livestock -> vegetables
1146 | Trento | Venetia | east_mediterranean | livestock -> vegetables
7014 | Izmit | Marmara | east_mediterranean | grain -> vegetables
4971 | Salerno | Southern_Italy | east_mediterranean | grain -> vegetables
373 | Yalvaç | Cilicia | east_mediterranean | livestock -> vegetables
5477 | Gospić | Illyria | east_mediterranean | grain -> vegetables
673 | Zawiya | Libya | east_mediterranean | livestock -> vegetables
788 | Dakahlia | Egypt | east_mediterranean | grain -> vegetables
4763 | Kerak | Levant | east_mediterranean | livestock -> vegetables
4868 | Dedeağaç | Rumelia | east_mediterranean | livestock -> vegetables
1237 | Vicenza | Venetia | east_mediterranean | grain -> vegetables
7946 | Vukonis | Illyria | east_mediterranean | grain -> vegetables
1641 | Zawiyat | Libya | east_mediterranean | livestock -> vegetables
1036 | Damietta | Egypt | east_mediterranean | grain -> vegetables
5409 | Umm al-Rashrash | Levant | east_mediterranean | livestock -> vegetables
5099 | Edirne | Rumelia | east_mediterranean | grain -> vegetables
7979 | Ogulin | Illyria | east_mediterranean | livestock -> vegetables
2212 | Al Tamimi | Libya | east_mediterranean | livestock -> vegetables
1398 | Damanhur | Egypt | east_mediterranean | grain -> vegetables
13155 | Nazareth | Levant | east_mediterranean | livestock -> vegetables
8632 | Ivanić | Illyria | east_mediterranean | livestock -> vegetables
2860 | Gandula | Libya | east_mediterranean | livestock -> vegetables
2009 | Nagaa Al Aslalmah | Egypt | east_mediterranean | grain -> vegetables
9288 | Verovitic | Illyria | east_mediterranean | grain -> vegetables
3273 | Marsa Al Burayqah | Libya | east_mediterranean | livestock -> vegetables
2116 | Aswan | Egypt | east_mediterranean | livestock -> vegetables
9347 | Agram | Illyria | east_mediterranean | grain -> vegetables
5092 | Kambut | Libya | east_mediterranean | livestock -> vegetables
2433 | New Valley | Egypt | east_mediterranean | livestock -> vegetables
10018 | Belovar | Illyria | east_mediterranean | grain -> vegetables
5108 | Tobruk | Libya | east_mediterranean | livestock -> vegetables
4214 | Minufiya | Egypt | east_mediterranean | grain -> vegetables
511 | Krainburg | Illyria | east_mediterranean | livestock -> vegetables
5642 | Tripoli | Libya | east_mediterranean | livestock -> vegetables
139 | Parsons | Appalachia | east_north_america | grain -> vegetables
3958 | New York | Mid-Atlantic | east_north_america | grain -> vegetables
297 | Gary | Great_Forests | east_north_america | grain -> vegetables
144 | Beaufort | Mid-Atlantic_South | east_north_america | grain -> vegetables
1130 | Fort Walsh | Praire_Provinces | east_north_america | grain -> vegetables
8366 | Detroit | Great_Lakes | east_north_america | livestock -> vegetables
8007 | Mansfield | New_England | east_north_america | grain -> vegetables
7667 | Windsor | Ontario | east_north_america | livestock -> vegetables
275 | Montréal | Quebec | east_north_america | livestock -> vegetables
5975 | Lancaster | Mid-Atlantic | east_north_america | grain -> vegetables
349 | South Bend | Great_Forests | east_north_america | grain -> vegetables
147 | Fayetteville | Mid-Atlantic_South | east_north_america | grain -> vegetables
1743 | Medicine Hat | Praire_Provinces | east_north_america | livestock -> vegetables
3964 | Houghton | Great_Lakes | east_north_america | livestock -> vegetables
5135 | Stockbridge | New_England | east_north_america | livestock -> vegetables
6647 | Lindsay | Ontario | east_north_america | grain -> vegetables
1533 | Washington | Mid-Atlantic | east_north_america | grain -> vegetables
721 | Fairfield | Great_Forests | east_north_america | grain -> vegetables
546 | Wilmington | Mid-Atlantic_South | east_north_america | grain -> vegetables
2259 | Brandon | Praire_Provinces | east_north_america | grain -> vegetables
7517 | Holland | Great_Lakes | east_north_america | grain -> vegetables
581 | Montpelier | New_England | east_north_america | livestock -> vegetables
8773 | Baltimore | Mid-Atlantic | east_north_america | grain -> vegetables
1006 | Aurora | Great_Forests | east_north_america | grain -> vegetables
1341 | Greenville | Mid-Atlantic_South | east_north_america | grain -> vegetables
4471 | Cheval | Praire_Provinces | east_north_america | grain -> vegetables
313 | Newton | Mid-Atlantic | east_north_america | grain -> vegetables
1614 | Galesburg | Great_Forests | east_north_america | grain -> vegetables
1453 | Jacksonville | Mid-Atlantic_South | east_north_america | grain -> vegetables
6573 | Lethbridge | Praire_Provinces | east_north_america | grain -> vegetables
1449 | Frederick | Mid-Atlantic | east_north_america | grain -> vegetables
3210 | Indianapolis | Great_Forests | east_north_america | grain -> vegetables
3203 | Elizabeth City | Mid-Atlantic_South | east_north_america | grain -> vegetables
4235 | Saratoga | Mid-Atlantic | east_north_america | livestock -> vegetables
3214 | Rantoul | Great_Forests | east_north_america | grain -> vegetables
4453 | Colchester | Mid-Atlantic | east_north_america | livestock -> vegetables
3748 | Centralia | Great_Forests | east_north_america | grain -> vegetables
4511 | Stroudsburg | Mid-Atlantic | east_north_america | grain -> vegetables
3780 | Terre Haute | Great_Forests | east_north_america | grain -> vegetables
4560 | Allentown | Mid-Atlantic | east_north_america | grain -> vegetables
3796 | Carlinville | Great_Forests | east_north_america | grain -> vegetables
4620 | Brookhaven | Mid-Atlantic | east_north_america | grain -> vegetables
232 | Cafayete | Argentina | east_south_america | livestock -> vegetables
853 | Formosa | Center-West_Brazil | east_south_america | livestock -> vegetables
1797 | Caruaru | Northeast_Brazil | east_south_america | livestock -> vegetables
8456 | Colônia Dona Francisca | South_Brazil | east_south_america | grain -> vegetables
1799 | Neuquén | Patagonia | east_south_america | livestock -> vegetables
8824 | Kafue | Paraguay | east_south_america | grain -> vegetables
1110 | Montevideo | Uruguay | east_south_america | livestock -> vegetables
3154 | San Tomás de Guyana | Guyana | east_south_america | livestock -> vegetables
736 | Santo Anastácio | Southeast_Brazil | east_south_america | livestock -> vegetables
964 | San Javier | Argentina | east_south_america | livestock -> vegetables
286 | Dourados | Center-West_Brazil | east_south_america | livestock -> vegetables
2226 | Santo Antonio de Jesus | Northeast_Brazil | east_south_america | livestock -> vegetables
794 | Santa Maria | South_Brazil | east_south_america | livestock -> vegetables
1914 | Kashtrük | Patagonia | east_south_america | livestock -> vegetables
2424 | San Estanislao | Paraguay | east_south_america | livestock -> vegetables
2344 | Maldonado | Uruguay | east_south_america | livestock -> vegetables
4428 | Macu | Guyana | east_south_america | livestock -> vegetables
966 | Córdoba | Argentina | east_south_america | livestock -> vegetables
855 | Araguaia | Center-West_Brazil | east_south_america | livestock -> vegetables
3806 | Campina Grande | Northeast_Brazil | east_south_america | livestock -> vegetables
155 | Zhenglan | Mongolia | eastern_steppe | livestock -> vegetables
9995 | Suzhou | Gansu | eastern_steppe | livestock -> vegetables
1570 | Lingyuan | Zhili | eastern_steppe | grain -> vegetables
9455 | Chaoyangcun | Far_East | eastern_steppe | livestock -> vegetables
2412 | Bancuncun | Shanxi | eastern_steppe | grain -> vegetables
1087 | Mukden | Liaoning | eastern_steppe | grain -> vegetables
160 | Sunud | Mongolia | eastern_steppe | livestock -> vegetables
5008 | Wuzhong | Gansu | eastern_steppe | livestock -> vegetables
1894 | Qinglong | Zhili | eastern_steppe | grain -> vegetables
461 | Huling | Far_East | eastern_steppe | grain -> vegetables
4119 | Shaheshancuncun | Shanxi | eastern_steppe | grain -> vegetables
1710 | Doncheng | Liaoning | eastern_steppe | grain -> vegetables
1681 | Zhengxiangbai | Mongolia | eastern_steppe | livestock -> vegetables
932 | Mường Lay | Laos | indo_china | livestock -> vegetables
9298 | Guangzhou | Guangdong | indo_china | grain -> vegetables
534 | Zhongshan | Guangxi | indo_china | grain -> vegetables
100 | Kracheh | Cambodia | indo_china | grain -> vegetables
1292 | Hoa Binh | Vietnam | indo_china | grain -> vegetables
5167 | Papamga | Luzon | indo_china | grain -> vegetables
2338 | Chachoengsao | Siam | indo_china | grain -> vegetables
1118 | Bacolod | Visayas | indo_china | grain -> vegetables
3373 | Chiang Rai | Lan_Na | indo_china | livestock -> vegetables
8738 | Muang Xon | Laos | indo_china | grain -> vegetables
2787 | Zhanjiang | Guangdong | indo_china | grain -> vegetables
1507 | Bahu | Guangxi | indo_china | grain -> vegetables
735 | Preah Vihear | Cambodia | indo_china | livestock -> vegetables
3574 | Tay Ninh | Vietnam | indo_china | livestock -> vegetables
8073 | Dagupan | Luzon | indo_china | grain -> vegetables
3253 | Prachinburi | Siam | indo_china | grain -> vegetables
1294 | Ban Nam Phuon | Laos | indo_china | livestock -> vegetables
570 | Ramadi | Arab_Iraq | middle_east | grain -> vegetables
1622 | Al Qunaytirah | Syria | middle_east | grain -> vegetables
2270 | Agri | Anatolia | middle_east | livestock -> vegetables
3161 | Anar Dara | Pashtunistan | middle_east | livestock -> vegetables
798 | Khuzdar | Balochistan | middle_east | livestock -> vegetables
968 | Ornabad | Khurasan | middle_east | livestock -> vegetables
12716 | Khvoy | Azerbaijan | middle_east | grain -> vegetables
5 | Eslamshahr | Persian_Iraq | middle_east | grain -> vegetables
737 | Fasa | Southern_Iran | middle_east | livestock -> vegetables
839 | Gorgan | Caspian_Iran | middle_east | grain -> vegetables
517 | Yeghegnadzor | Armenia | middle_east | livestock -> vegetables
3663 | Sarjah | Eastern_Arabia | middle_east | livestock -> vegetables
1702 | Zarand | Kerman | middle_east | livestock -> vegetables
1253 | Baghdad | Arab_Iraq | middle_east | grain -> vegetables
4336 | Al Tibni | Syria | middle_east | grain -> vegetables
2318 | Siverek | Anatolia | middle_east | grain -> vegetables
3685 | Gurian | Pashtunistan | middle_east | livestock -> vegetables
3 | Bampur | Balochistan | middle_east | livestock -> vegetables
3426 | Tabas | Khurasan | middle_east | livestock -> vegetables
4512 | Torkamanchay | Azerbaijan | middle_east | grain -> vegetables
631 | Kabudarahang | Persian_Iraq | middle_east | grain -> vegetables
2013 | Firuzabad | Southern_Iran | middle_east | livestock -> vegetables
1215 | Nakhchievan | Armenia | middle_east | livestock -> vegetables
4260 | Al Ruwais | Eastern_Arabia | middle_east | livestock -> vegetables
1382 | Al-Fallujah | Arab_Iraq | middle_east | grain -> vegetables
4948 | Deir az-Zur | Syria | middle_east | grain -> vegetables
4443 | Mus | Anatolia | middle_east | livestock -> vegetables
9072 | Dali | South_Australia | south_east_asia | grain -> vegetables
211 | Paynes Find | Western_Australia | south_east_asia | livestock -> vegetables
266 | Jambi | Sumatra | south_east_asia | grain -> vegetables
784 | Kolaka | Sulawesi | south_east_asia | livestock -> vegetables
6270 | Batavia | Java | south_east_asia | grain -> vegetables
270 | Tablelands | Northern_Territory | south_east_asia | livestock -> vegetables
4741 | Kosrae | Caroline_Islands | south_east_asia | livestock -> vegetables
2490 | Malacca | Johore | south_east_asia | livestock -> vegetables
1013 | Maumere | Nusa_Tenggara | south_east_asia | livestock -> vegetables
2873 | Daru | New_Guinea | south_east_asia | grain -> vegetables
5600 | Miri | Borneo | south_east_asia | livestock -> vegetables
3646 | Whakatane | North_Island | south_east_asia | livestock -> vegetables
4174 | Longreach | Queensland | south_east_asia | livestock -> vegetables
1163 | Digos | Mindanao | south_east_asia | grain -> vegetables
115 | Dunedin | South_Island | south_east_asia | livestock -> vegetables
895 | Sydney | South_Australia | south_east_asia | grain -> vegetables
281 | Derby | Western_Australia | south_east_asia | livestock -> vegetables
445 | Pariaman | Sumatra | south_east_asia | grain -> vegetables
935 | Pulau Buton | Sulawesi | south_east_asia | livestock -> vegetables
165 | Soerabaja | Java | south_east_asia | grain -> vegetables
2272 | Nitmiluk | Northern_Territory | south_east_asia | grain -> vegetables
4742 | Pingelap | Caroline_Islands | south_east_asia | livestock -> vegetables
5615 | Chukai | Johore | south_east_asia | grain -> vegetables
3473 | Rapet | Nusa_Tenggara | south_east_asia | livestock -> vegetables
1795 | Batemans Bay | South_Australia | south_east_asia | grain -> vegetables
487 | Meekatharra | Western_Australia | south_east_asia | livestock -> vegetables
1222 | Peremoahan | Sumatra | south_east_asia | livestock -> vegetables
1688 | Bunta | Sulawesi | south_east_asia | grain -> vegetables
672 | Kudus | Java | south_east_asia | grain -> vegetables
4572 | Ranken | Northern_Territory | south_east_asia | livestock -> vegetables
3957 | Bega | South_Australia | south_east_asia | grain -> vegetables
674 | Esperance | Western_Australia | south_east_asia | livestock -> vegetables
1235 | Prabumulih | Sumatra | south_east_asia | livestock -> vegetables
2022 | Parepare | Sulawesi | south_east_asia | grain -> vegetables
1282 | Sukabumi | Java | south_east_asia | grain -> vegetables
4254 | Wollongong | South_Australia | south_east_asia | grain -> vegetables
688 | Ravensthorpe | Western_Australia | south_east_asia | livestock -> vegetables
1837 | Napalputh | Sumatra | south_east_asia | livestock -> vegetables
7858 | Newcastle | South_Australia | south_east_asia | grain -> vegetables
1854 | Marble Bar | Western_Australia | south_east_asia | livestock -> vegetables
3411 | Cabang | Sumatra | south_east_asia | livestock -> vegetables
3547 | Mansfield | South_Australia | south_east_asia | livestock -> vegetables
4821 | Hlololwane | South_Africa | southern_africa | livestock -> vegetables
4576 | Sombo | Angola | southern_africa | livestock -> vegetables
2083 | Bindura | Zimbabwe | southern_africa | livestock -> vegetables
1153 | Tsumkwe | Kalahari | southern_africa | livestock -> vegetables
3519 | Pitseng | South_Africa | southern_africa | livestock -> vegetables
10376 | Dundo | Angola | southern_africa | livestock -> vegetables
9874 | Itezhi tezhi | Zimbabwe | southern_africa | grain -> vegetables
3004 | Serowe | Kalahari | southern_africa | livestock -> vegetables
3726 | Phalaborwa | South_Africa | southern_africa | livestock -> vegetables
1791 | Lubango | Angola | southern_africa | livestock -> vegetables
1180 | Luplya | Zimbabwe | southern_africa | livestock -> vegetables
1113 | Mthethwa | South_Africa | southern_africa | livestock -> vegetables
2783 | Chipata | Zimbabwe | southern_africa | livestock -> vegetables
3436 | Umtata | South_Africa | southern_africa | livestock -> vegetables
1158 | Chinsali | Zimbabwe | southern_africa | livestock -> vegetables
4045 | Seshego | South_Africa | southern_africa | livestock -> vegetables
1170 | Mongu | Zimbabwe | southern_africa | grain -> vegetables
3819 | Lhasa | Tibet | upper_yangtzi | livestock -> vegetables
1017 | Mianyang | Sichuan_Kham | upper_yangtzi | grain -> vegetables
4991 | Wuchang | Hubei | upper_yangtzi | grain -> vegetables
1788 | Guangfaxiang | Hunan | upper_yangtzi | grain -> vegetables
2982 | Nshasha | Congo_Basin | west_africa | livestock -> vegetables
9624 | Tumbutu | Sahel | west_africa | livestock -> vegetables
533 | Koubia | Coastal_West_Africa | west_africa | grain -> vegetables
1728 | Kaédi | Western_Sahara | west_africa | livestock -> vegetables
7380 | Garoua | Gulf_of_Guinea | west_africa | grain -> vegetables
9259 | Matadi | Congo_Basin | west_africa | livestock -> vegetables
67 | Niamey | Sahel | west_africa | grain -> vegetables
552 | Kerewan | Coastal_West_Africa | west_africa | livestock -> vegetables
2072 | Nouakchott | Western_Sahara | west_africa | livestock -> vegetables
287 | Kogu | Gulf_of_Guinea | west_africa | grain -> vegetables
1046 | Moba | Congo_Basin | west_africa | livestock -> vegetables
329 | Sikaso | Sahel | west_africa | livestock -> vegetables
969 | Bignona | Coastal_West_Africa | west_africa | livestock -> vegetables
2692 | Ouad Naga | Western_Sahara | west_africa | livestock -> vegetables
923 | Bafoussam | Gulf_of_Guinea | west_africa | livestock -> vegetables
2652 | Sibiti | Congo_Basin | west_africa | livestock -> vegetables
601 | Amdjarass | Sahel | west_africa | livestock -> vegetables
1919 | Odienné | Coastal_West_Africa | west_africa | livestock -> vegetables
205 | Khenchela | Algeria | west_mediterranean | livestock -> vegetables
4164 | Tarragona | Catalonia-Aragon | west_mediterranean | livestock -> vegetables
1778 | Tangier | Morocco | west_mediterranean | grain -> vegetables
2468 | Roanne | Auvergne-Rhone-Alpes | west_mediterranean | grain -> vegetables
130 | Montauban | Occitanie | west_mediterranean | livestock -> vegetables
1106 | Cadiz | Andalusia | west_mediterranean | grain -> vegetables
320 | Skhira | Tunisia | west_mediterranean | livestock -> vegetables
1207 | Ferrara | Central_Italy | west_mediterranean | grain -> vegetables
655 | Alessandria | Cisalpine_Italy | west_mediterranean | grain -> vegetables
515 | El Djelfa | Algeria | west_mediterranean | livestock -> vegetables
2093 | Huesca | Catalonia-Aragon | west_mediterranean | livestock -> vegetables
11858 | Ifrane | Morocco | west_mediterranean | livestock -> vegetables
2946 | Bourg-en-Bresse | Auvergne-Rhone-Alpes | west_mediterranean | livestock -> vegetables
1330 | Albi | Occitanie | west_mediterranean | livestock -> vegetables
9575 | Seville | Andalusia | west_mediterranean | grain -> vegetables
7483 | Beja | Tunisia | west_mediterranean | livestock -> vegetables
529 | Bou Saada | Algeria | west_mediterranean | livestock -> vegetables
939 | Tudela | Catalonia-Aragon | west_mediterranean | grain -> vegetables
4362 | Tendrara | Morocco | west_mediterranean | livestock -> vegetables
4736 | Montluçon | Auvergne-Rhone-Alpes | west_mediterranean | livestock -> vegetables
1498 | Saint-Girons | Occitanie | west_mediterranean | livestock -> vegetables
2785 | Constantina | Andalusia | west_mediterranean | livestock -> vegetables
595 | El Kasdir | Algeria | west_mediterranean | livestock -> vegetables
2214 | Calatayud | Catalonia-Aragon | west_mediterranean | grain -> vegetables
46 | Thayne | Mountain_West | west_north_america | livestock -> vegetables
421 | San Bernardino | California | west_north_america | livestock -> vegetables
4480 | Santiago de Queretaro | Pacific_Mexico | west_north_america | livestock -> vegetables
307 | Reno | Mountain_West | west_north_america | livestock -> vegetables
438 | Fresno | California | west_north_america | livestock -> vegetables
6183 | Puebla | Pacific_Mexico | west_north_america | grain -> vegetables
386 | Uintah | Mountain_West | west_north_america | livestock -> vegetables
483 | Irvine | California | west_north_america | livestock -> vegetables
31 | San Cristobal | Pacific_Mexico | west_north_america | grain -> vegetables
440 | Panguitch | Mountain_West | west_north_america | livestock -> vegetables
521 | Temecula | California | west_north_america | livestock -> vegetables
1809 | Patzcuaro | Pacific_Mexico | west_north_america | grain -> vegetables
684 | Tuscarora | Mountain_West | west_north_america | livestock -> vegetables
770 | Bakersfield | California | west_north_america | livestock -> vegetables
7275 | Tlaxcala | Pacific_Mexico | west_north_america | grain -> vegetables
993 | Eskdale | Mountain_West | west_north_america | livestock -> vegetables
881 | Roseville | California | west_north_america | livestock -> vegetables
1008 | Ely | Mountain_West | west_north_america | livestock -> vegetables
1806 | Ensenada | California | west_north_america | livestock -> vegetables
1183 | San Carlos | Mountain_West | west_north_america | grain -> vegetables
2109 | Modoc | California | west_north_america | livestock -> vegetables
1470 | Tselakai | Mountain_West | west_north_america | livestock -> vegetables
2295 | La Paz | California | west_north_america | livestock -> vegetables
1478 | Eagar | Mountain_West | west_north_america | grain -> vegetables
2681 | Lancaster | California | west_north_america | livestock -> vegetables
1635 | Red Desert | Mountain_West | west_north_america | livestock -> vegetables
2215 | Yerington | Mountain_West | west_north_america | livestock -> vegetables
2234 | Pequop | Mountain_West | west_north_america | livestock -> vegetables
2598 | Fort Morgan | Mountain_West | west_north_america | livestock -> vegetables
2643 | Pueblo | Mountain_West | west_north_america | livestock -> vegetables
2765 | Plevna | Mountain_West | west_north_america | grain -> vegetables
2870 | Winnemucca | Mountain_West | west_north_america | livestock -> vegetables
3107 | Melston | Mountain_West | west_north_america | grain -> vegetables
